"","Sell Order","From","Quantity","Buy Price","Net Costs","Take To","Sell Price","Net Sales","Gross Margin","Sell Taxes","Net Profit","Profit Per Item","R.O.I","Total Volume (m3)"
"","Faint Scoped Warp Disruptor","Dodixie","1","18,000.00","18,000.00","Jita","20,000.05","20,000.05","2,000.05","560.00","1,440.05","1,440.05","8.0%","5.00"
"","Federation Navy Sergeant Insignia I","Amarr","5","18,000.00","90,000.00","Jita","20,000.01","100,000.05","10,000.05","2,800.00","7,200.05","1,440.01","8.0%","0.50"
"","Serpentis Electrum Tag","Dodixie","2","2,000.00","4,000.00","Jita","3,520.02","7,040.04","3,040.04","197.12","2,842.92","1,421.46","71.1%","0.20"
"","100mm Rolled Tungsten Compact Plates","Dodixie","2","7,501.09","15,002.18","Jita","9,165.25","18,330.50","3,328.32","513.25","2,815.07","1,407.53","18.8%","10.00"
"","Agitated Dark Filament","Jita","4","20,000.00","80,000.00","Rens","22,005.18","88,020.72","8,020.72","2,464.58","5,556.14","1,389.03","6.9%","0.40"
"","Assault Damage Control I","Amarr","25","8,396.95","209,923.75","Jita","10,000.00","250,000.00","40,076.25","7,000.00","33,076.25","1,323.05","15.8%","125.00"
"","Station Container","Dodixie","10","23,000.00","230,000.00","Jita","25,010.02","250,100.20","20,100.20","7,002.81","13,097.39","1,309.74","5.7%","20,000,000.00"
"","Imperial Navy Midshipman Insignia II","Amarr","2","6,499.99","12,999.98","Dodixie","8,000.00","16,000.00","3,000.02","448.00","2,552.02","1,276.01","19.6%","0.20"
"","Small Brief Capacitor Overcharge I","Dodixie","2","2,284.00","4,568.00","Jita","3,637.10","7,274.20","2,706.20","203.68","2,502.52","1,251.26","54.8%","10.00"
"","Warp Disruptor I","Amarr","34","25,037.99","851,291.66","Dodixie","27,000.00","918,000.00","66,708.34","25,704.00","41,004.34","1,206.01","4.8%","170.00"
"","Imperial Navy Sergeant Major Insignia I","Rens","1","28,000.00","28,000.00","Dodixie","30,000.00","30,000.00","2,000.00","840.00","1,160.00","1,160.00","4.1%","0.10"
"","Ammatar Navy Sergeant Insignia III","Rens","3","28,000.00","84,000.00","Dodixie","30,000.00","90,000.00","6,000.00","2,520.00","3,480.00","1,160.00","4.1%","0.30"
"","Hypersynaptic Fibers","Dodixie","170","11,000.00","1,870,000.00","Amarr","12,500.00","2,125,000.00","255,000.00","59,500.00","195,500.00","1,150.00","10.5%","102.00"
"","Republic Fleet Midshipman Insignia I","Amarr","20","3,230.00","64,600.00","Jita","4,500.00","90,000.00","25,400.00","2,520.00","22,880.00","1,144.00","35.4%","2.00"
"","J5 Enduring Warp Disruptor","Hek","1","2,800.01","2,800.01","Dodixie","4,002.03","4,002.03","1,202.02","112.06","1,089.96","1,089.96","38.9%","5.00"
"","Angel Electrum Tag","Hek","7","921.00","6,447.00","Rens","2,057.42","14,401.94","7,954.94","403.25","7,551.69","1,078.81","117.1%","0.70"
"","Compressed Luminous Kernite","Amarr","220","14,000.00","3,080,000.00","Jita","15,510.74","3,412,362.80","332,362.80","95,546.16","236,816.64","1,076.44","7.7%","41.80"
"","Domination Copper Tag","Hek","13","7,995.00","103,935.00","Jita","9,300.00","120,900.00","16,965.00","3,385.20","13,579.80","1,044.60","13.1%","1.30"
"","Domination Copper Tag","Rens","1","8,000.00","8,000.00","Jita","9,300.00","9,300.00","1,300.00","260.40","1,039.60","1,039.60","13.0%","0.10"
"","Angel Electrum Tag","Hek","7","921.00","6,447.00","Amarr","2,010.00","14,070.00","7,623.00","393.96","7,229.04","1,032.72","112.1%","0.70"
"","Drone Regions YC109","Jita","1","1,500.00","1,500.00","Amarr","2,600.00","2,600.00","1,100.00","72.80","1,027.20","1,027.20","68.5%","1.00"
"","Decayed Damage Control Mutaplasmid","Hek","1","5,000.00","5,000.00","Jita","6,182.52","6,182.52","1,182.52","173.11","1,009.41","1,009.41","20.2%","1.00"
"","True Sansha Copper Tag","Amarr","1","1,000.00","1,000.00","Jita","2,053.00","2,053.00","1,053.00","57.48","995.52","995.52","99.6%","0.10"
"","Arkonor","Rens","44","1,950.00","85,800.00","Jita","3,000.02","132,000.88","46,200.88","3,696.02","42,504.86","966.02","49.5%","704.00"
"","Blue Pill","Amarr","10","1,000.00","10,000.00","Hek","2,009.99","20,099.90","10,099.90","562.80","9,537.10","953.71","95.4%","2.00"
"","Amarr Shuttle","Amarr","215","18,500.00","3,977,500.00","Jita","20,000.16","4,300,034.40","322,534.40","120,400.96","202,133.44","940.16","5.1%","1,075,000.00"
"","Linked Enduring Remote Sensor Booster","Dodixie","1","2,000.82","2,000.82","Jita","3,012.12","3,012.12","1,011.30","84.34","926.96","926.96","46.3%","5.00"
"","FFR Enduring Assault Damage Control","Amarr","4","3,000.00","12,000.00","Hek","4,005.00","16,020.00","4,020.00","448.56","3,571.44","892.86","29.8%","20.00"
"","Janitor","Jita","60","3,001.00","180,060.00","Amarr","4,002.53","240,151.80","60,091.80","6,724.25","53,367.55","889.46","29.6%","180.00"
"","Federation Navy Midshipman Insignia II","Dodixie","1","6,900.00","6,900.00","Jita","8,000.00","8,000.00","1,100.00","224.00","876.00","876.00","12.7%","0.10"
"","Republic Fleet Midshipman Insignia II","Amarr","30","6,900.00","207,000.00","Jita","8,000.00","240,000.00","33,000.00","6,720.00","26,280.00","876.00","12.7%","3.00"
"","Photonic Metamaterials","Jita","9,440","14,677.00","138,550,880.00","Dodixie","16,000.00","151,040,000.00","12,489,120.00","4,229,120.00","8,260,000.00","875.00","6.0%","9,440.00"
"","Small I-ax Enduring Remote Armor Repairer","Dodixie","37","3,060.05","113,221.85","Jita","4,046.03","149,703.11","36,481.26","4,191.69","32,289.57","872.69","28.5%","185.00"
"","Broken Drone Transceiver","Jita","34","21,000.00","714,000.00","Rens","22,492.20","764,734.80","50,734.80","21,412.57","29,322.23","862.42","4.1%","0.34"
"","Nonlinear Metamaterials","Jita","500","21,598.90","10,799,450.00","Dodixie","23,100.00","11,550,000.00","750,550.00","323,400.00","427,150.00","854.30","4.0%","500.00"
"","Umbra Scoped Radar ECM","Rens","1","9,500.00","9,500.00","Jita","10,644.00","10,644.00","1,144.00","298.03","845.97","845.97","8.9%","5.00"
"","Caldari Navy Midshipman Insignia III","Hek","4","13,750.00","55,000.00","Dodixie","15,000.00","60,000.00","5,000.00","1,680.00","3,320.00","830.00","6.0%","0.40"
"","Core Probe Launcher I","Amarr","1","11,349.98","11,349.98","Rens","12,510.00","12,510.00","1,160.02","350.28","809.74","809.74","7.1%","5.00"
"","Republic Fleet Midshipman Insignia II","Dodixie","33","7,000.00","231,000.00","Jita","8,000.00","264,000.00","33,000.00","7,392.00","25,608.00","776.00","11.1%","3.30"
"","Imperial Navy Midshipman Insignia II","Jita","1","7,000.00","7,000.00","Dodixie","8,000.00","8,000.00","1,000.00","224.00","776.00","776.00","11.1%","0.10"
"","CZ-4 Compact Gravimetric ECM","Dodixie","7","11,895.00","83,265.00","Jita","13,000.18","91,001.26","7,736.26","2,548.04","5,188.22","741.17","6.2%","35.00"
"","Limited Thermal Dissipation Field I","Hek","6","9,000.00","54,000.00","Amarr","10,020.61","60,123.66","6,123.66","1,683.46","4,440.20","740.03","8.2%","30.00"
"","Gravid Assault Damage Control Mutaplasmid","Dodixie","1","9,000.00","9,000.00","Jita","10,004.14","10,004.14","1,004.14","280.12","724.02","724.02","8.0%","1.00"
"","Singularity Radiation Convertor","Amarr","3","9,000.00","27,000.00","Dodixie","10,001.21","30,003.63","3,003.63","840.10","2,163.53","721.18","8.0%","3.00"
"","Limited Thermal Dissipation Field I","Hek","6","9,000.00","54,000.00","Jita","10,001.20","60,007.20","6,007.20","1,680.20","4,327.00","721.17","8.0%","30.00"
"","Singularity Radiation Convertor","Amarr","3","9,000.00","27,000.00","Jita","10,001.19","30,003.57","3,003.57","840.10","2,163.47","721.16","8.0%","3.00"
"","Janitor","Dodixie","10","3,169.41","31,694.10","Amarr","4,002.53","40,025.30","8,331.20","1,120.71","7,210.49","721.05","22.8%","30.00"
"","Assault Damage Control I","Dodixie","15","9,000.00","135,000.00","Jita","10,000.00","150,000.00","15,000.00","4,200.00","10,800.00","720.00","8.0%","75.00"
"","J5 Enduring Warp Disruptor","Hek","1","2,800.01","2,800.01","Amarr","3,600.01","3,600.01","800.00","100.80","699.20","699.20","25.0%","5.00"
"","Hypersynaptic Fibers","Jita","8","11,465.00","91,720.00","Amarr","12,500.00","100,000.00","8,280.00","2,800.00","5,480.00","685.00","6.0%","4.80"
"","75mm 'Scout' Accelerator Cannon","Rens","1","10,010.01","10,010.01","Jita","11,000.00","11,000.00","989.99","308.00","681.99","681.99","6.8%","5.00"
"","Caldari Navy Midshipman Insignia III","Rens","46","13,900.00","639,400.00","Dodixie","15,000.00","690,000.00","50,600.00","19,320.00","31,280.00","680.00","4.9%","4.60"
"","Scorched Telemetry Processor","Rens","25","7,100.00","177,500.00","Jita","8,000.00","200,000.00","22,500.00","5,600.00","16,900.00","676.00","9.5%","0.25"
"","Spatial Attunement Unit","Dodixie","2","14,900.00","29,800.00","Jita","16,011.00","32,022.00","2,222.00","896.62","1,325.38","662.69","4.4%","2.00"
"","Photonic Metamaterials","Jita","765","15,400.00","11,781,000.00","Hek","16,501.00","12,623,265.00","842,265.00","353,451.42","488,813.58","638.97","4.1%","765.00"
"","Pellucid Crokite","Rens","247","2,499.99","617,497.53","Jita","3,216.55","794,487.85","176,990.32","22,245.66","154,744.66","626.50","25.1%","3,952.00"
"","Acolyte I","Rens","69","2,000.00","138,000.00","Jita","2,701.44","186,399.36","48,399.36","5,219.18","43,180.18","625.80","31.3%","345.00"
"","Platinum","Dodixie","116,163","14,500.00","1,684,363,500.00","Jita","15,530.01","1,804,012,551.63","119,649,051.63","50,512,351.45","69,136,700.18","595.17","4.1%","5,808.15"
"","Regulated Light Electron Phase Cannon I","Rens","1","2,330.00","2,330.00","Amarr","3,000.00","3,000.00","670.00","84.00","586.00","586.00","25.2%","5.00"
"","Imperial Navy Midshipman Insignia III","Amarr","2","14,000.00","28,000.00","Dodixie","15,000.00","30,000.00","2,000.00","840.00","1,160.00","580.00","4.1%","0.20"
"","Caldari Navy Midshipman Insignia III","Jita","8","14,000.00","112,000.00","Dodixie","15,000.00","120,000.00","8,000.00","3,360.00","4,640.00","580.00","4.1%","0.80"
"","Trinary State Processor","Dodixie","234","11,000.00","2,574,000.00","Jita","11,910.05","2,786,951.70","212,951.70","78,034.65","134,917.05","576.57","5.2%","234.00"
"","Gamma S","Dodixie","1","600.00","600.00","Jita","1,200.00","1,200.00","600.00","33.60","566.40","566.40","94.4%","1.00"
"","Imperial Navy Midshipman Insignia III","Jita","9","14,017.23","126,155.07","Dodixie","15,000.00","135,000.00","8,844.93","3,780.00","5,064.93","562.77","4.0%","0.90"
"","Small Brief Capacitor Overcharge I","Rens","1","3,000.00","3,000.00","Jita","3,637.10","3,637.10","637.10","101.84","535.26","535.26","17.8%","5.00"
"","Spiced Wine","Dodixie","32","1,000.00","32,000.00","Amarr","1,561.43","49,965.76","17,965.76","1,399.04","16,566.72","517.71","51.8%","16.00"
"","Kruul's DNA","Dodixie","1","5,000.00","5,000.00","Jita","5,674.50","5,674.50","674.50","158.89","515.61","515.61","10.3%","0.10"
"","Data Processor","Hek","86","500.00","43,000.00","Jita","1,038.00","89,268.00","46,268.00","2,499.50","43,768.50","508.94","101.8%","8.60"
"","Long-limb Roes","Rens","10","2,250.00","22,500.00","Amarr","2,806.82","28,068.20","5,568.20","785.91","4,782.29","478.23","21.3%","10.00"
"","Defective Current Pump","Hek","4","9,000.00","36,000.00","Jita","9,750.00","39,000.00","3,000.00","1,092.00","1,908.00","477.00","5.3%","0.04"
"","A-211 Enduring Guidance Disruptor","Dodixie","7","4,500.00","31,500.00","Jita","5,106.09","35,742.63","4,242.63","1,000.79","3,241.84","463.12","10.3%","35.00"
"","Enfeebling Scoped Ladar ECM","Amarr","1","7,999.00","7,999.00","Jita","8,705.00","8,705.00","706.00","243.74","462.26","462.26","5.8%","5.00"
"","Blue Pill","Amarr","10","1,000.00","10,000.00","Dodixie","1,500.00","15,000.00","5,000.00","420.00","4,580.00","458.00","45.8%","2.00"
"","Blue Pill","Rens","10","1,500.00","15,000.00","Hek","2,009.99","20,099.90","5,099.90","562.80","4,537.10","453.71","30.2%","2.00"
"","Smashed Trigger Unit","Hek","202","5,000.00","1,010,000.00","Jita","5,600.00","1,131,200.00","121,200.00","31,673.60","89,526.40","443.20","8.9%","2.02"
"","Smashed Trigger Unit","Rens","385","5,000.00","1,925,000.00","Jita","5,600.00","2,156,000.00","231,000.00","60,368.00","170,632.00","443.20","8.9%","3.85"
"","Drone Synaptic Relay Wiring","Rens","86","2,000.00","172,000.00","Amarr","2,510.01","215,860.86","43,860.86","6,044.10","37,816.76","439.73","22.0%","0.86"
"","Mark I Compact Capacitor Power Relay","Dodixie","12","4,914.20","58,970.40","Jita","5,500.00","66,000.00","7,029.60","1,848.00","5,181.60","431.80","8.8%","60.00"
"","Linked Enduring Remote Sensor Booster","Dodixie","1","2,000.82","2,000.82","Amarr","2,500.00","2,500.00","499.18","70.00","429.18","429.18","21.5%","5.00"
"","Republic Fleet Midshipman Insignia I","Dodixie","1","3,950.00","3,950.00","Jita","4,500.00","4,500.00","550.00","126.00","424.00","424.00","10.7%","0.10"
"","Caldari Navy Midshipman Insignia II","Jita","10","7,358.45","73,584.50","Dodixie","8,000.00","80,000.00","6,415.50","2,240.00","4,175.50","417.55","5.7%","1.00"
"","Construction Blocks","Dodixie","150","9,701.86","1,455,279.00","Amarr","10,400.00","1,560,000.00","104,721.00","43,680.00","61,041.00","406.94","4.2%","225.00"
"","Cap Booster 400","Amarr","64","3,500.00","224,000.00","Jita","4,005.03","256,321.92","32,321.92","7,177.01","25,144.91","392.89","11.2%","1,024.00"
"","Fullerite-C50","Rens","1,453","3,493.99","5,076,767.47","Jita","3,998.04","5,809,152.12","732,384.65","162,656.26","569,728.39","392.10","11.2%","1,453.00"
"","Miner I","Dodixie","100","9,000.00","900,000.00","Jita","9,661.16","966,116.00","66,116.00","27,051.25","39,064.75","390.65","4.3%","500.00"
"","Imperial Navy Midshipman Insignia II","Rens","151","7,400.00","1,117,400.00","Dodixie","8,000.00","1,208,000.00","90,600.00","33,824.00","56,776.00","376.00","5.1%","15.10"
"","Imperial Navy Midshipman Insignia I","Rens","21","3,999.99","83,999.79","Dodixie","4,500.00","94,500.00","10,500.21","2,646.00","7,854.21","374.01","9.4%","2.10"
"","Khanid Rookie Insignia","Jita","7","4,000.00","28,000.00","Dodixie","4,500.00","31,500.00","3,500.00","882.00","2,618.00","374.00","9.3%","0.70"
"","100mm Rolled Tungsten Compact Plates","Dodixie","2","7,501.09","15,002.18","Amarr","8,100.04","16,200.08","1,197.90","453.60","744.30","372.15","5.0%","10.00"
"","Civilian Warp Disruptor","Jita","1","4,500.00","4,500.00","Dodixie","5,000.00","5,000.00","500.00","140.00","360.00","360.00","8.0%","5.00"
"","Radio S","Dodixie","1","1,100.40","1,100.40","Jita","1,500.00","1,500.00","399.60","42.00","357.60","357.60","32.5%","1.00"
"","Highstroke Scoped Guidance Disruptor","Rens","1","4,999.00","4,999.00","Jita","5,500.99","5,500.99","501.99","154.03","347.96","347.96","7.0%","5.00"
"","Titanium","Rens","21,337","5,555.60","118,539,837.20","Jita","6,051.01","129,110,400.37","10,570,563.17","3,615,091.21","6,955,471.96","325.98","5.9%","1,066.85"
"","Small 'Regard' Remote Capacitor Transmitter","Amarr","1","2,598.00","2,598.00","Jita","3,000.00","3,000.00","402.00","84.00","318.00","318.00","12.2%","5.00"
"","Metal Scraps","Amarr","82","1,410.04","115,623.28","Jita","1,747.08","143,260.56","27,637.28","4,011.30","23,625.98","288.12","20.4%","0.82"
"","Small Rudimentary Concussion Bomb I","Rens","1","3,990.00","3,990.00","Hek","4,400.00","4,400.00","410.00","123.20","286.80","286.80","7.2%","5.00"
"","Small Rudimentary Concussion Bomb I","Dodixie","1","3,999.00","3,999.00","Hek","4,400.00","4,400.00","401.00","123.20","277.80","277.80","6.9%","5.00"
"","Induced Compact Multispectral ECM","Dodixie","2","5,000.00","10,000.00","Jita","5,421.16","10,842.32","842.32","303.58","538.74","269.37","5.4%","10.00"
"","Yoiul Festival Starburst Firework","Dodixie","100","150.00","15,000.00","Jita","423.56","42,356.00","27,356.00","1,185.97","26,170.03","261.70","174.5%","10.00"
"","Angel Electrum Tag","Hek","7","921.00","6,447.00","Dodixie","1,215.00","8,505.00","2,058.00","238.14","1,819.86","259.98","28.2%","0.70"
"","C-IR Compact Guidance Disruptor","Rens","1","5,000.00","5,000.00","Jita","5,410.50","5,410.50","410.50","151.49","259.01","259.01","5.2%","5.00"
"","Metal Scraps","Dodixie","3","1,450.00","4,350.00","Jita","1,747.08","5,241.24","891.24","146.75","744.49","248.16","17.1%","0.03"
"","Small Brief Capacitor Overcharge I","Dodixie","2","2,284.00","4,568.00","Amarr","2,600.01","5,200.02","632.02","145.60","486.42","243.21","10.6%","10.00"
"","Smashed Trigger Unit","Dodixie","12","5,200.00","62,400.00","Jita","5,600.00","67,200.00","4,800.00","1,881.60","2,918.40","243.20","4.7%","0.12"
"","Drone Synaptic Relay Wiring","Dodixie","155","2,199.99","340,998.45","Amarr","2,510.01","389,051.55","48,053.10","10,893.44","37,159.66","239.74","10.9%","1.55"
"","Small Asymmetric Remote Capacitor Transmitter","Amarr","1","2,000.00","2,000.00","Jita","2,300.14","2,300.14","300.14","64.40","235.74","235.74","11.8%","5.00"
"","Long-limb Roes","Dodixie","10","2,500.00","25,000.00","Amarr","2,806.82","28,068.20","3,068.20","785.91","2,282.29","228.23","9.1%","10.00"
"","Small Automated Structural Restoration","Dodixie","1","1,000.00","1,000.00","Hek","1,252.00","1,252.00","252.00","35.06","216.94","216.94","21.7%","5.00"
"","Sooth Sayer","Amarr","3","269.69","809.07","Rens","500.00","1,500.00","690.93","42.00","648.93","216.31","80.2%","3.00"
"","Malfunctioning Shield Emitter","Dodixie","775","1,000.00","775,000.00","Jita","1,250.00","968,750.00","193,750.00","27,125.00","166,625.00","215.00","21.5%","7.75"
"","Malfunctioning Shield Emitter","Rens","230","1,000.00","230,000.00","Jita","1,250.00","287,500.00","57,500.00","8,050.00","49,450.00","215.00","21.5%","2.30"
"","F-293 Scoped Remote Tracking Computer","Hek","8","4,650.00","37,200.00","Jita","5,004.00","40,032.00","2,832.00","1,120.90","1,711.10","213.89","4.6%","40.00"
"","Radio S","Rens","1","1,250.00","1,250.00","Jita","1,500.00","1,500.00","250.00","42.00","208.00","208.00","16.6%","1.00"
"","Small Automated Structural Restoration","Dodixie","10","1,267.67","12,676.70","Jita","1,515.03","15,150.30","2,473.60","424.21","2,049.39","204.94","16.2%","50.00"
"","Current Amplifier","Dodixie","62","50.00","3,100.00","Amarr","262.02","16,245.24","13,145.24","454.87","12,690.37","204.68","409.4%","6.20"
"","Compressed Veldspar","Amarr","1,034","2,299.00","2,377,166.00","Jita","2,573.09","2,660,575.06","283,409.06","74,496.10","208,912.96","202.04","8.8%","155.10"
"","Silicates","Dodixie","4,150","2,150.00","8,922,500.00","Jita","2,410.06","10,001,749.00","1,079,249.00","280,048.97","799,200.03","192.58","9.0%","207.50"
"","Mining Drone I","Dodixie","628","3,750.00","2,355,000.00","Jita","4,050.35","2,543,619.80","188,619.80","71,221.35","117,398.45","186.94","5.0%","3,140.00"
"","Electric Conduit","Rens","126","15.99","2,014.74","Jita","204.00","25,704.00","23,689.26","719.71","22,969.55","182.30","1140.1%","12.60"
"","Imperial Navy Midshipman Insignia I","Jita","15","4,199.99","62,999.85","Dodixie","4,500.00","67,500.00","4,500.15","1,890.00","2,610.15","174.01","4.1%","1.50"
"","Caldari Navy Midshipman Insignia I","Jita","25","4,200.00","105,000.00","Dodixie","4,500.00","112,500.00","7,500.00","3,150.00","4,350.00","174.00","4.1%","2.50"
"","Energy Cells","Dodixie","91","110.00","10,010.00","Jita","290.31","26,418.21","16,408.21","739.71","15,668.50","172.18","156.5%","9.10"
"","Malfunctioning Shield Emitter","Dodixie","775","1,000.00","775,000.00","Hek","1,200.00","930,000.00","155,000.00","26,040.00","128,960.00","166.40","16.6%","7.75"
"","Malfunctioning Shield Emitter","Rens","230","1,000.00","230,000.00","Hek","1,200.00","276,000.00","46,000.00","7,728.00","38,272.00","166.40","16.6%","2.30"
"","Compressed Dense Veldspar","Hek","1,000","2,400.00","2,400,000.00","Jita","2,638.27","2,638,270.00","238,270.00","73,871.56","164,398.44","164.40","6.8%","150.00"
"","Elemental Crux","Dodixie","23","110.00","2,530.00","Jita","268.18","6,168.14","3,638.14","172.71","3,465.43","150.67","137.0%","2.30"
"","Yoiul Festival Starburst Firework","Dodixie","100","150.00","15,000.00","Amarr","307.00","30,700.00","15,700.00","859.60","14,840.40","148.40","98.9%","10.00"
"","Gleaming Alloy","Dodixie","1","50.00","50.00","Amarr","203.90","203.90","153.90","5.71","148.19","148.19","296.4%","1.00"
"","Silicates","Hek","10,501","2,195.00","23,049,695.00","Jita","2,410.06","25,308,040.06","2,258,345.06","708,625.12","1,549,719.94","147.58","6.7%","525.05"
"","Compressed Scordite","Dodixie","553","2,600.00","1,437,800.00","Jita","2,825.05","1,562,252.65","124,452.65","43,743.07","80,709.58","145.95","5.6%","105.07"
"","Halloween Horrors Firework","Dodixie","500","400.26","200,130.00","Rens","559.79","279,895.00","79,765.00","7,837.06","71,927.94","143.86","35.9%","50.00"
"","Silicates","Amarr","17,134","2,200.00","37,694,800.00","Jita","2,410.06","41,293,968.04","3,599,168.04","1,156,231.11","2,442,936.93","142.58","6.5%","856.70"
"","Evaporite Deposits","Rens","1,975","1,900.00","3,752,500.00","Jita","2,101.00","4,149,475.00","396,975.00","116,185.30","280,789.70","142.17","7.5%","98.75"
"","Drone Synaptic Relay Wiring","Hek","43","2,299.36","98,872.48","Amarr","2,510.01","107,930.43","9,057.95","3,022.05","6,035.90","140.37","6.1%","0.43"
"","Small Brief Capacitor Overcharge I","Amarr","1","3,400.00","3,400.00","Jita","3,637.10","3,637.10","237.10","101.84","135.26","135.26","4.0%","5.00"
"","Compressed Condensed Scordite","Dodixie","532","2,790.00","1,484,280.00","Jita","3,007.19","1,599,825.08","115,545.08","44,795.10","70,749.98","132.99","4.8%","101.08"
"","Compressed Concentrated Veldspar","Amarr","1,700","2,299.00","3,908,300.00","Jita","2,501.10","4,251,870.00","343,570.00","119,052.36","224,517.64","132.07","5.7%","255.00"
"","J5 Enduring Warp Disruptor","Hek","1","2,800.01","2,800.01","Rens","3,006.01","3,006.01","206.00","84.17","121.83","121.83","4.4%","5.00"
"","Yoiul Festival Starburst Firework","Rens","100","310.00","31,000.00","Jita","423.56","42,356.00","11,356.00","1,185.97","10,170.03","101.70","32.8%","10.00"
"","Water","Hek","111","450.00","49,950.00","Jita","566.79","62,913.69","12,963.69","1,761.58","11,202.11","100.92","22.4%","42.18"
"","Construction Alloy","Dodixie","62","200.00","12,400.00","Jita","309.00","19,158.00","6,758.00","536.42","6,221.58","100.35","50.2%","6.20"
"","'Scarab' Layered Plating I","Hek","1","1.00","1.00","Amarr","102.04","102.04","101.04","2.86","98.18","98.18","9818.3%","5.00"
"","'Scarab' Layered Plating I","Hek","1","1.00","1.00","Rens","100.05","100.05","99.05","2.80","96.25","96.25","9624.9%","5.00"
"","Electric Conduit","Rens","126","15.99","2,014.74","Amarr","114.00","14,364.00","12,349.26","402.19","11,947.07","94.82","593.0%","12.60"
"","Crash","Dodixie","110","100.00","11,000.00","Hek","199.99","21,998.90","10,998.90","615.97","10,382.93","94.39","94.4%","22.00"
"","Crash","Rens","20","100.99","2,019.80","Hek","199.99","3,999.80","1,980.00","111.99","1,868.01","93.40","92.5%","4.00"
"","Carbon","Jita","30","106.57","3,197.10","Dodixie","201.00","6,030.00","2,832.90","168.84","2,664.06","88.80","83.3%","0.30"
"","Guardian Lead Charge L","Jita","500","999.78","499,890.00","Dodixie","1,108.68","554,340.00","54,450.00","15,521.52","38,928.48","77.86","7.8%","12.50"
"","Carbon","Jita","30","106.57","3,197.10","Rens","180.00","5,400.00","2,202.90","151.20","2,051.70","68.39","64.2%","0.30"
"","Wheat","Rens","10","4.18","41.80","Jita","70.00","700.00","658.20","19.60","638.60","63.86","1527.8%","11.50"
"","Mjolnir Fury Heavy Missile","Hek","678","483.00","327,474.00","Jita","562.03","381,056.34","53,582.34","10,669.58","42,912.76","63.29","13.1%","20.34"
"","Xray S","Dodixie","16","400.00","6,400.00","Amarr","474.55","7,592.80","1,192.80","212.60","980.20","61.26","15.3%","16.00"
"","Radio S","Amarr","2,761","1,399.94","3,865,234.34","Jita","1,500.00","4,141,500.00","276,265.66","115,962.00","160,303.66","58.06","4.1%","2,761.00"
"","Force Cable","Dodixie","49","144.00","7,056.00","Jita","204.46","10,018.54","2,962.54","280.52","2,682.02","54.74","38.0%","4.90"
"","Positron Cord","Dodixie","48","189.99","9,119.52","Jita","246.83","11,847.84","2,728.32","331.74","2,396.58","49.93","26.3%","4.80"
"","Second-hand Parts","Dodixie","111","99.00","10,989.00","Jita","152.14","16,887.54","5,898.54","472.85","5,425.69","48.88","49.4%","11.10"
"","Halloween Horrors Firework","Dodixie","500","400.26","200,130.00","Jita","461.10","230,550.00","30,420.00","6,455.40","23,964.60","47.93","12.0%","50.00"
"","Antibiotics","Jita","10","305.49","3,054.90","Dodixie","363.40","3,634.00","579.10","101.75","477.35","47.73","15.6%","2.00"
"","Scourge Fury Cruise Missile","Jita","498,518","556.09","277,220,874.62","Dodixie","620.01","309,086,145.18","31,865,270.56","8,654,412.07","23,210,858.49","46.56","8.4%","24,925.90"
"","Nerve Sticks","Jita","30","99.94","2,998.20","Amarr","150.01","4,500.30","1,502.10","126.01","1,376.09","45.87","45.9%","6.00"
"","Carbon","Amarr","77","150.00","11,550.00","Dodixie","201.00","15,477.00","3,927.00","433.36","3,493.64","45.37","30.2%","0.77"
"","Fullerides","Jita","400","1,121.86","448,744.00","Amarr","1,200.01","480,004.00","31,260.00","13,440.11","17,819.89","44.55","4.0%","60.00"
"","Liquid Ozone","Amarr","60,028","175.52","10,536,114.56","Dodixie","225.01","13,506,900.28","2,970,785.72","378,193.21","2,592,592.51","43.19","24.6%","24,011.20"
"","Computer Chips","Dodixie","54","300.00","16,200.00","Jita","349.22","18,857.88","2,657.88","528.02","2,129.86","39.44","13.1%","5.40"
"","Kernite","Rens","312","320.00","99,840.00","Hek","366.82","114,447.84","14,607.84","3,204.54","11,403.30","36.55","11.4%","374.40"
"","Decayed Assault Damage Control Mutaplasmid","Hek","16","578.98","9,263.68","Jita","633.11","10,129.76","866.08","283.63","582.45","36.40","6.3%","16.00"
"","Antibiotics","Rens","10","317.45","3,174.50","Dodixie","363.40","3,634.00","459.50","101.75","357.75","35.77","11.3%","2.00"
"","Silicon","Amarr","860","608.00","522,880.00","Dodixie","660.00","567,600.00","44,720.00","15,892.80","28,827.20","33.52","5.5%","326.80"
"","Data Sheets","Dodixie","100","141.00","14,100.00","Jita","178.57","17,857.00","3,757.00","500.00","3,257.00","32.57","23.1%","100.00"
"","Mechanic Parts","Hek","46","90.00","4,140.00","Jita","125.66","5,780.36","1,640.36","161.85","1,478.51","32.14","35.7%","4.60"
"","Auxiliary Parts","Dodixie","31","116.00","3,596.00","Jita","151.00","4,681.00","1,085.00","131.07","953.93","30.77","26.5%","3.10"
"","Bacteria","Amarr","19,254","590.00","11,359,860.00","Jita","638.52","12,294,064.08","934,204.08","344,233.79","589,970.29","30.64","5.2%","7,316.52"
"","Mjolnir Torpedo","Dodixie","400","220.00","88,000.00","Jita","256.19","102,476.00","14,476.00","2,869.33","11,606.67","29.02","13.2%","20.00"
